job_id,product_id,process_name,assigned_factory,candidate_line,candidate_factory,raw_start,duration,start_after_push,end_after_push,delta
J1100,P07,wafer_saw,F1,V1,F1,0.0,120.0,0.0,120.0,120.0
J1100,P07,wafer_saw,F1,V2,F1,0.0,120.0,0.0,120.0,120.0
J1100,P07,die_attach,F1,V3,F1,120.0,160.0,390.0,550.0,160.0
J1100,P07,die_attach,F1,V4,F1,120.0,160.0,390.0,550.0,160.0
J1100,P07,wire_bond,F1,V5,F1,550.0,180.0,630.0,810.0,180.0
J1100,P07,wire_bond,F1,V6,F1,550.0,180.0,630.0,810.0,180.0
J1100,P07,molding,F1,V7,F1,810.0,150.0,930.0,1080.0,150.0
J1100,P07,rinse,F1,V8,F1,1080.0,50.0,1110.0,1160.0,50.0
J1100,P07,plating,F1,V9,F1,1160.0,180.0,1350.0,1530.0,180.0
J1100,P07,trim_form,F1,V10,F1,1530.0,90.0,1530.0,1620.0,90.0
J1100,P07,electrical_test,F1,V11,F1,1620.0,60.0,1650.0,1710.0,60.0
J1100,P07,final_inspection,F1,V12,F1,1710.0,60.0,1710.0,1770.0,60.0
J1101,P07,wafer_saw,F1,V1,F1,123.0,120.0,210.0,330.0,120.0
J1101,P07,wafer_saw,F1,V2,F1,0.0,120.0,0.0,120.0,120.0
J1101,P07,die_attach,F1,V3,F1,555.0,160.0,1110.0,1270.0,160.0
J1101,P07,die_attach,F1,V4,F1,120.0,160.0,390.0,550.0,160.0
J1101,P07,wire_bond,F1,V5,F1,815.0,180.0,1110.0,1290.0,180.0
J1101,P07,wire_bond,F1,V6,F1,550.0,180.0,630.0,810.0,180.0
J1101,P07,molding,F1,V7,F1,1088.0,150.0,1110.0,1260.0,150.0
J1101,P07,rinse,F1,V8,F1,1266.0,50.0,1266.0,1316.0,50.0
J1101,P07,plating,F1,V9,F1,1540.0,180.0,1830.0,2010.0,180.0
J1101,P07,trim_form,F1,V10,F1,2015.0,90.0,2070.0,2160.0,90.0
J1101,P07,electrical_test,F1,V11,F1,2164.0,60.0,2164.0,2224.0,60.0
J1101,P07,final_inspection,F1,V12,F1,2227.0,60.0,2227.0,2287.0,60.0
J1102,P07,wafer_saw,F1,V1,F1,123.0,120.0,210.0,330.0,120.0
J1102,P07,wafer_saw,F1,V2,F1,123.0,120.0,210.0,330.0,120.0
J1102,P07,die_attach,F1,V3,F1,555.0,160.0,1110.0,1270.0,160.0
J1102,P07,die_attach,F1,V4,F1,555.0,160.0,630.0,790.0,160.0
J1102,P07,wire_bond,F1,V5,F1,815.0,180.0,1110.0,1290.0,180.0
J1102,P07,wire_bond,F1,V6,F1,815.0,180.0,1110.0,1290.0,180.0
J1102,P07,molding,F1,V7,F1,1298.0,150.0,1350.0,1500.0,150.0
J1102,P07,rinse,F1,V8,F1,1506.0,50.0,1506.0,1556.0,50.0
J1102,P07,plating,F1,V9,F1,2020.0,180.0,2070.0,2250.0,180.0
J1102,P07,trim_form,F1,V10,F1,2255.0,90.0,2370.0,2460.0,90.0
J1102,P07,electrical_test,F1,V11,F1,2464.0,60.0,2550.0,2610.0,60.0
J1102,P07,final_inspection,F1,V12,F1,2613.0,60.0,2613.0,2673.0,60.0
J1103,P07,wafer_saw,F1,V1,F1,333.0,120.0,390.0,510.0,120.0
J1103,P07,wafer_saw,F1,V2,F1,123.0,120.0,210.0,330.0,120.0
J1103,P07,die_attach,F1,V3,F1,555.0,160.0,1110.0,1270.0,160.0
J1103,P07,die_attach,F1,V4,F1,795.0,160.0,1110.0,1270.0,160.0
J1103,P07,wire_bond,F1,V5,F1,1295.0,180.0,1350.0,1530.0,180.0
J1103,P07,wire_bond,F1,V6,F1,1275.0,180.0,1350.0,1530.0,180.0
J1103,P07,molding,F1,V7,F1,1538.0,150.0,1650.0,1800.0,150.0
