job_id,product_id,process_name,line_id,factory_id,start_min,end_min,changeover_time,processing_time_used,duration_check,start_time,end_time
J1100,P07,wafer_saw,V1,F1,0.0,120.0,0.0,120.0,120.0,2026-04-01 00:00:00,2026-04-01 02:00:00
J1100,P07,die_attach,V3,F1,390.0,550.0,0.0,160.0,160.0,2026-04-01 06:30:00,2026-04-01 09:10:00
J1100,P07,wire_bond,V5,F1,630.0,810.0,0.0,180.0,180.0,2026-04-01 10:30:00,2026-04-01 13:30:00
J1100,P07,molding,V7,F1,930.0,1080.0,0.0,150.0,150.0,2026-04-01 15:30:00,2026-04-01 18:00:00
J1100,P07,rinse,V8,F1,1110.0,1160.0,0.0,50.0,50.0,2026-04-01 18:30:00,2026-04-01 19:20:00
J1100,P07,plating,V9,F1,1350.0,1530.0,0.0,180.0,180.0,2026-04-01 22:30:00,2026-04-02 01:30:00
J1100,P07,trim_form,V10,F1,1530.0,1620.0,0.0,90.0,90.0,2026-04-02 01:30:00,2026-04-02 03:00:00
J1100,P07,electrical_test,V11,F1,1650.0,1710.0,0.0,60.0,60.0,2026-04-02 03:30:00,2026-04-02 04:30:00
J1100,P07,final_inspection,V12,F1,1710.0,1770.0,0.0,60.0,60.0,2026-04-02 04:30:00,2026-04-02 05:30:00
J1101,P07,wafer_saw,V2,F1,0.0,120.0,0.0,120.0,120.0,2026-04-01 00:00:00,2026-04-01 02:00:00
J1101,P07,die_attach,V4,F1,390.0,550.0,0.0,160.0,160.0,2026-04-01 06:30:00,2026-04-01 09:10:00
J1101,P07,wire_bond,V6,F1,630.0,810.0,0.0,180.0,180.0,2026-04-01 10:30:00,2026-04-01 13:30:00
J1101,P07,molding,V7,F1,1110.0,1260.0,8.0,150.0,150.0,2026-04-01 18:30:00,2026-04-01 21:00:00
J1101,P07,rinse,V8,F1,1266.0,1316.0,6.0,50.0,50.0,2026-04-01 21:06:00,2026-04-01 21:56:00
J1101,P07,plating,V9,F1,1830.0,2010.0,10.0,180.0,180.0,2026-04-02 06:30:00,2026-04-02 09:30:00
J1101,P07,trim_form,V10,F1,2070.0,2160.0,5.0,90.0,90.0,2026-04-02 10:30:00,2026-04-02 12:00:00
J1101,P07,electrical_test,V11,F1,2164.0,2224.0,4.0,60.0,60.0,2026-04-02 12:04:00,2026-04-02 13:04:00
J1101,P07,final_inspection,V12,F1,2227.0,2287.0,3.0,60.0,60.0,2026-04-02 13:07:00,2026-04-02 14:07:00
J1102,P07,wafer_saw,V1,F1,210.0,330.0,3.0,120.0,120.0,2026-04-01 03:30:00,2026-04-01 05:30:00
J1102,P07,die_attach,V4,F1,630.0,790.0,5.0,160.0,160.0,2026-04-01 10:30:00,2026-04-01 13:10:00
J1102,P07,wire_bond,V5,F1,1110.0,1290.0,5.0,180.0,180.0,2026-04-01 18:30:00,2026-04-01 21:30:00
J1102,P07,molding,V7,F1,1350.0,1500.0,8.0,150.0,150.0,2026-04-01 22:30:00,2026-04-02 01:00:00
J1102,P07,rinse,V8,F1,1506.0,1556.0,6.0,50.0,50.0,2026-04-02 01:06:00,2026-04-02 01:56:00
J1102,P07,plating,V9,F1,2070.0,2250.0,10.0,180.0,180.0,2026-04-02 10:30:00,2026-04-02 13:30:00
J1102,P07,trim_form,V10,F1,2370.0,2460.0,5.0,90.0,90.0,2026-04-02 15:30:00,2026-04-02 17:00:00
J1102,P07,electrical_test,V11,F1,2550.0,2610.0,4.0,60.0,60.0,2026-04-02 18:30:00,2026-04-02 19:30:00
J1102,P07,final_inspection,V12,F1,2613.0,2673.0,3.0,60.0,60.0,2026-04-02 19:33:00,2026-04-02 20:33:00
J1103,P07,wafer_saw,V2,F1,210.0,330.0,3.0,120.0,120.0,2026-04-01 03:30:00,2026-04-01 05:30:00
J1103,P07,die_attach,V3,F1,1110.0,1270.0,5.0,160.0,160.0,2026-04-01 18:30:00,2026-04-01 21:10:00
J1103,P07,wire_bond,V5,F1,1350.0,1530.0,5.0,180.0,180.0,2026-04-01 22:30:00,2026-04-02 01:30:00
J1103,P07,molding,V7,F1,1650.0,1800.0,8.0,150.0,150.0,2026-04-02 03:30:00,2026-04-02 06:00:00
